outlet_id,mode,R_SI,R_kinematic
out_383,resistance,104160994749.21861,98265089.38605529
out_558,resistance,106380175492.59866,100358656.12509307
out_597,resistance,98380140600.68935,92811453.39687674
out_700,resistance,86330625122.01407,81443985.96416421
out_826,resistance,78537807740.31738,74092271.4531296
