outlet_id,mode,R_SI,R_kinematic
out_160,resistance,87321458051.23224,82378734.01059645
out_185,closed,0.0,0.0
out_321,resistance,104160994749.21861,98265089.38605529
out_414,resistance,98380140600.68935,92811453.39687674
out_517,resistance,86330625122.01407,81443985.96416421
out_643,resistance,78537807740.31738,74092271.4531296
