outlet_id,mode,R_SI,R_kinematic
out_160,resistance,113908394412.03706,107460749.44531798
out_185,resistance,45656311091.90419,43071991.596136026
out_321,resistance,135875098023.24797,128184054.73891318
out_414,resistance,128334135823.52391,121069939.45615463
out_517,resistance,112615880628.86594,106241396.81968485
out_643,resistance,102450368786.69672,96651291.30820444
