scan,side,min_disk,min_cur,nl_disk,nl_cur,l20_disk,l20_cur,Qin_disk,Qin_cur
3,left,0.922599585064103,0.922599585064103,10,10,0.962180539519482,0.962180539519482,1.4348625460239668,1.4348625460239668
3,right,0.946153540639716,0.946153540639716,1,1,0.9626722667971755,0.9626722667971757,1.966551437115741,1.9665514371157413
9,left,0.9419681434537562,0.9419681434537562,1,1,0.9548574944329608,0.9548574944329608,0.989520578960931,0.989520578960931
9,right,0.9164130839212956,0.9164130839212956,1,1,0.9041260824273388,0.9041260824273388,0.5733629117418889,0.5733629117418889
14,left,0.9808883492426907,0.9808883184437964,9,8,0.9808883492426907,0.9808883184437964,0.7110360630050618,0.7110478331139266
14,right,0.9262347722438816,0.9262347722438817,0,0,,,1.782760019876063,1.782760019876063
30,left,0.988618135522396,0.9886179863386682,3,2,,,1.1176989718243284,1.1177274315770849
30,right,0.9631737500189294,0.9631737500189294,1,1,,,3.468532393070842,3.468532393070842
41,left,0.951692654442454,0.9516926544424539,6,6,0.9551736840130984,0.9551736840130983,2.128843649772993,2.128843649772993
41,right,0.9417715914844116,0.9417715914844115,5,5,0.9528297141923888,0.9528297141923889,2.458732715698836,2.458732715698836
42,left,0.9805350582426584,0.9805350582426585,1,1,,,1.057407204119743,1.0574072041197433
42,right,0.9305486608353436,0.9305486608353436,2,2,,,0.9670415468082376,0.9670415468082377
43,left,0.9338805450399476,0.9338805450399476,4,4,0.9322230268350526,0.9322230268350526,4.024758550841527,4.024758550841527
43,right,0.9382975023999666,0.9382975023999666,0,0,,,1.3481150632066654,1.3481150632066654
45,left,0.9138643072008754,0.9138643072008754,1,1,0.9651895985889613,0.9651895985889611,3.0435863901110145,3.0435863901110145
45,right,0.9872575805965242,0.9872575805965242,0,0,,,0.3204201409316233,0.3204201409316233
52,left,0.9535953246825228,0.9535948644919185,4,3,,,3.2558199931291494,3.256014134673317
52,right,0.9601886398828304,0.9601886398828303,2,2,,,1.3269959053718274,1.3269959053718274
63,left,0.9778460812980194,0.9778460812980194,1,1,,,1.154145497070279,1.154145497070279
63,right,0.9391584762945372,0.9391584762945371,0,0,,,0.5364168363968203,0.5364168363968203
69,left,0.9661331037029208,0.9661331037029208,1,1,,,3.2690837125710357,3.2690837125710357
69,right,0.9277437554483614,0.9277437554483614,5,5,0.9314820756577684,0.9314820756577683,3.233666247285244,3.233666247285244
80,left,0.9699762877136888,0.9699762877136888,0,0,,,0.85005516886076,0.85005516886076
80,right,0.894751464369036,0.894751464369036,4,4,0.8895347829428228,0.8895347829428228,0.7928403708491756,0.7928403708491756
85,left,0.9403042466615582,0.9403042466615582,2,2,0.9334549109548944,0.9334549109548943,0.7607376539591235,0.7607376539591235
85,right,0.9101682804860664,0.9101682804860665,5,5,0.9627928334923664,0.9627928334923664,2.849766825582733,2.849766825582733
87,left,0.9589975477116118,0.9589975477116118,0,0,,,1.80842487321796,1.80842487321796
87,right,0.965444155211108,0.965444155211108,0,0,,,0.9861332315002324,0.9861332315002324
88,left,0.951645365769463,0.951645365769463,1,1,0.9658719478308592,0.9658719478308591,2.2489443330943266,2.2489443330943266
88,right,0.9410020878275308,0.9410020878275309,0,0,,,0.936241162566942,0.9362411625669421
95,left,0.9707081511446451,0.9707081511446453,3,3,0.9823608377712296,0.9823608377712297,1.4261613904617194,1.4261613904617194
95,right,0.949816053580503,0.949816053580503,0,0,,,1.7416038288516196,1.7416038288516196
100,left,0.9733698553153592,0.9733698553153591,4,4,0.980295363129104,0.9802953631291041,0.7925855854222223,0.7925855854222223
100,right,0.8332962459240435,0.8362025065376556,5,4,0.9278537189247468,0.9276336431167272,0.8696316156857463,0.8710732970350817
102,left,0.9658960631068858,0.965895896486217,8,7,0.9839765697755078,0.9839763998455436,3.953071265510379,3.953407356143441
