scan,side,cut_mm,ok,n_outlets,single_outlet,n_slots,n_slots_with_deletable
580,left,0.75,True,5,False,4,4
580,left,1.0,True,2,False,0,0
593,left,0.6,True,5,False,2,2
593,left,0.75,True,3,False,2,0
593,left,1.0,True,2,False,0,0
616,right,0.6,True,2,False,4,4
616,right,0.75,True,2,False,4,4
616,right,1.0,True,1,True,4,0
618,left,0.6,True,7,False,6,6
618,left,0.75,True,6,False,6,6
618,left,1.0,True,3,False,2,2
621,left,0.6,True,9,False,8,4
621,left,0.75,True,8,False,8,4
621,left,1.0,True,3,False,4,0
621,right,0.6,True,3,False,4,4
621,right,0.75,True,1,True,4,0
621,right,1.0,True,1,True,4,0
625,right,0.6,True,3,False,4,4
625,right,0.75,True,3,False,4,4
625,right,1.0,True,1,True,4,0
659,left,0.6,True,6,False,3,1
659,left,0.75,True,6,False,3,1
659,left,1.0,True,3,False,0,0
661,left,0.6,True,6,False,4,4
661,left,0.75,True,5,False,4,4
661,left,1.0,True,3,False,1,0
667,left,0.6,True,6,False,6,5
667,left,0.75,True,3,False,6,1
667,left,1.0,True,2,False,2,0
669,left,0.6,True,6,False,3,3
669,left,0.75,True,6,False,3,3
669,left,1.0,True,3,False,2,0
675,right,0.6,True,2,False,4,4
675,right,0.75,True,2,False,4,4
675,right,1.0,True,2,False,4,4
683,right,0.6,True,2,False,4,4
683,right,0.75,True,2,False,4,4
683,right,1.0,True,2,False,4,4
690,left,0.6,True,5,False,4,4
690,left,0.75,True,5,False,4,4
690,left,1.0,True,2,False,1,0
698,left,0.6,True,5,False,6,3
698,left,0.75,True,5,False,6,3
698,left,1.0,True,4,False,2,2
725,right,0.6,True,2,False,4,4
725,right,0.75,True,1,True,4,0
725,right,1.0,True,1,True,1,0
727,left,0.6,True,3,False,2,0
727,left,0.75,True,3,False,2,0
727,left,1.0,True,1,True,0,0
738,left,0.6,True,6,False,2,2
738,left,0.75,True,2,False,2,0
738,left,1.0,True,2,False,0,0
751,left,0.6,True,6,False,6,2
751,left,0.75,True,3,False,6,0
751,left,1.0,True,3,False,1,0
754,left,0.6,True,6,False,6,4
754,left,0.75,True,5,False,6,4
754,left,1.0,True,4,False,5,0
757,left,0.6,True,6,False,8,6
757,left,0.75,True,6,False,8,6
757,left,1.0,True,3,False,5,2
758,left,0.6,True,5,False,6,4
758,left,0.75,True,5,False,6,4
758,left,1.0,True,2,False,0,0
768,right,0.6,True,2,False,1,1
768,right,0.75,True,2,False,1,1
768,right,1.0,True,1,True,1,0
789,left,0.6,True,5,False,2,0
789,left,0.75,True,4,False,2,0
789,left,1.0,True,2,False,0,0
806,left,0.6,True,5,False,8,8
806,left,0.75,True,4,False,6,2
806,left,1.0,True,2,False,4,0
808,left,0.6,True,4,False,6,4
808,left,0.75,True,4,False,6,4
808,left,1.0,True,2,False,2,0
812,left,0.6,True,6,False,8,4
812,left,0.75,True,6,False,8,4
812,left,1.0,True,5,False,4,0
812,right,0.6,True,3,False,4,4
812,right,0.75,True,3,False,4,4
812,right,1.0,True,2,False,4,4
813,right,0.6,True,2,False,4,4
813,right,0.75,True,1,True,4,0
813,right,1.0,True,1,True,4,0
825,left,0.6,True,5,False,4,0
825,left,0.75,True,5,False,4,0
825,left,1.0,True,3,False,4,0
825,right,0.6,True,3,False,4,4
825,right,0.75,True,1,True,4,0
825,right,1.0,True,1,True,4,0
