run_id,terr_id,root_node,root_xyz_mm,Q_target_mls,Q_achieved_mls,residual,sum_w,n_nodes,n_outlets,contains_lesion,contains_error
280_left_LAD_prox_20mm_80ds_leaky_T2_truncation_B_rederived,0,33,53.2765;-149.1457;159.4388,0.9105862383036487,0.9011883026329441,-0.010320753021934666,5.416064420672966e-09,256,4,True,True
280_left_LAD_prox_20mm_80ds_leaky_T2_truncation_B_rederived,1,37,53.0494;-148.2914;158.8814,0.4166551314242307,0.3999785670252586,-0.0400248626291185,2.103405089259618e-09,190,2,False,False
280_left_LAD_prox_20mm_80ds_leaky_T2_truncation_C_flowmatched,0,33,53.2765;-149.1457;159.4388,0.9105862383036487,0.9236234469113898,0.014317379353358516,5.416064420672966e-09,256,4,True,True
280_left_LAD_prox_20mm_80ds_leaky_T2_truncation_C_flowmatched,1,37,53.0494;-148.2914;158.8814,0.4166551314242307,0.4112201312950181,-0.013044361437802085,2.103405089259618e-09,190,2,False,False
280_left_LAD_prox_20mm_80ds_leaky_T3_stenosis_length_A_fixed,0,33,53.2765;-149.1457;159.4388,0.9105862383036487,0.9058044347841099,-0.005251346131089022,5.120368386729188e-09,426,4,True,False
280_left_LAD_prox_20mm_80ds_leaky_T3_stenosis_length_A_fixed,1,37,53.0494;-148.2914;158.8814,0.4166551314242307,0.4166600060473329,1.1699419338709914e-05,2.103405089259618e-09,190,2,False,False
280_left_LAD_prox_20mm_80ds_leaky_T3_stenosis_length_B_rederived,0,33,53.2765;-149.1457;159.4388,0.9105862383036487,0.9058044347841099,-0.005251346131089022,5.120368386729188e-09,426,4,True,False
280_left_LAD_prox_20mm_80ds_leaky_T3_stenosis_length_B_rederived,1,37,53.0494;-148.2914;158.8814,0.4166551314242307,0.4166600060473329,1.1699419338709914e-05,2.103405089259618e-09,190,2,False,False
280_left_LAD_prox_20mm_80ds_leaky_T3_stenosis_length_C_flowmatched,0,33,53.2765;-149.1457;159.4388,0.9105862383036487,0.9079404129599372,-0.002905628519754938,5.120368386729188e-09,426,4,True,False
280_left_LAD_prox_20mm_80ds_leaky_T3_stenosis_length_C_flowmatched,1,37,53.0494;-148.2914;158.8814,0.4166551314242307,0.41774523515807427,0.002616321392988218,2.103405089259618e-09,190,2,False,False
