scan,side,vessel,loc,L_mm,ds_pct,bed,band_cohort,ffr_clean,error_type,protocol,n_territories,w_sum,r_ref_root_mm,L_resolved_mm,n_outlets,run_id,draw,status,draw_co,draw_map_mmhg,draw_mu,draw_share_sd,draw_wscv,C_clean,C,C_abs,C_ratio,ffr,dFFR,flip,outlet_flow_residual,passes_check,fit_n_basins,fit_at_bound,inflow_mls,converged
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,negative,C_flowmatched,3,1.9321933840671718e-08,1.9204073597103293,309.4550147390551,6,102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,0,ok,0.9802518235114916,85.61279979766813,0.003994324759611423,0.1,0.083,54.60609845356183,60.07787382845831,60.07787382845831,1.1002044740396495,0.7098232483206821,0.02343690489934258,0,0.0887767179947287,1,1,False,3.5107159317102132,True
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,negative,C_flowmatched,3,1.9321933840671718e-08,1.9204073597103293,309.4550147390551,6,102_left_LAD_mid_20mm_80ds_leaky_negative_draw1,1,ok,0.9883792791080553,96.9297356925121,0.004029697824458187,0.1,0.083,54.60609845356183,59.67643567181551,59.67643567181551,1.0928529479645137,0.70820871114745,0.02182236772611046,0,0.07323784473930207,1,1,False,3.533516675813759,True
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,negative,C_flowmatched,3,1.9321933840671718e-08,1.9204073597103293,309.4550147390551,6,102_left_LAD_mid_20mm_80ds_leaky_negative_draw2,2,ok,0.9615414009480363,86.91161310109139,0.004019032082164932,0.1,0.083,54.60609845356183,65.8244438531531,65.8244438531531,1.2054412550483091,0.7313219858381086,0.04493564241676906,0,0.3076447444311382,0,1,False,3.2139630072712166,True
102,left,LAD,mid,20.0,80,discrete,"[0.65, 0.7)",0.46793368211558145,negative,C_flowmatched,3,1.9619761442657406e-08,1.9204073597103293,309.4550147390551,6,102_left_LAD_mid_20mm_80ds_discrete_negative_draw0,0,ok,0.956518675677473,85.56063399679181,0.0040779870064671575,0.1,0.083,51.508101534724524,59.616788925769995,59.616788925769995,1.1574254757880942,0.4995715715751092,0.031637889459527724,0,0.12770425301952149,0,1,False,2.9398135829131475,True
102,left,LAD,mid,20.0,80,discrete,"[0.65, 0.7)",0.46793368211558145,negative,C_flowmatched,3,1.9619761442657406e-08,1.9204073597103293,309.4550147390551,6,102_left_LAD_mid_20mm_80ds_discrete_negative_draw1,1,ok,0.927272313428199,90.10602285721998,0.004017457461120385,0.1,0.083,51.508101534724524,57.181068405302774,57.181068405302774,1.1101373706571922,0.4903850141253495,0.022451332009768066,0,0.05048392137595823,1,1,False,3.04407146679115,True
102,left,LAD,mid,20.0,80,discrete,"[0.65, 0.7)",0.46793368211558145,negative,C_flowmatched,3,1.9619761442657406e-08,1.9204073597103293,309.4550147390551,6,102_left_LAD_mid_20mm_80ds_discrete_negative_draw2,2,ok,0.9765798344981295,93.83687421022908,0.0040409178433315675,0.1,0.083,51.508101534724524,57.27914535795715,57.27914535795715,1.1120414779671512,0.4907600352780841,0.022826353162502644,0,0.10374477295908742,0,1,False,3.0397248293776413,True
280,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6818151296140292,negative,C_flowmatched,2,7.223773475988808e-09,1.3659230584244235,172.50067639977587,6,280_left_LAD_prox_20mm_80ds_leaky_negative_draw0,0,ok,0.9933920104749973,84.3123434426471,0.004023218956464183,0.1,0.083,56.570754601289416,58.863634047389084,58.863634047389084,1.0405311801523576,0.6919114505458567,0.01009632093182744,0,0.1248683958411158,0,1,False,1.2792690751684082,True
280,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6818151296140292,negative,C_flowmatched,2,7.223773475988808e-09,1.3659230584244235,172.50067639977587,6,280_left_LAD_prox_20mm_80ds_leaky_negative_draw1,1,ok,1.0183002489957063,89.41139973588939,0.00409868667416716,0.1,0.083,56.570754601289416,56.94600288975753,56.94600288975753,1.0066332558424025,0.6835063085485436,0.0016911789345143147,0,0.03857237289524775,1,1,False,1.319141404322482,True
280,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6818151296140292,negative,C_flowmatched,2,7.223773475988808e-09,1.3659230584244235,172.50067639977587,6,280_left_LAD_prox_20mm_80ds_leaky_negative_draw2,2,ok,1.0816961937458058,95.61931060324241,0.004052919945349608,0.1,0.083,56.570754601289416,51.110677366621154,51.110677366621154,0.9034823333513778,0.6553350488426307,-0.026480080771398518,0,0.044721682516669366,1,1,False,1.4577188149238982,True
280,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6142179175355617,negative,C_flowmatched,2,1.7699300452416392e-08,1.3659230584244235,172.50067639977587,6,280_left_LAD_prox_20mm_80ds_discrete_negative_draw0,0,ok,0.9748802518770912,87.29590971131954,0.0040102600014265445,0.1,0.083,135.35396285081254,139.42413447156105,139.42413447156105,1.030070575955243,0.6218973729000428,0.007679455364481114,0,0.07171424993310034,1,1,False,1.209510925799289,True
