scan,side,vessel,loc,L_mm,ds_pct,bed,band_cohort,ffr_clean,flip_clean,n_outlets_clean,error_type,protocol,status,meas_same_point,n_outlets,n_outlets_shared,n_territories,info_cut_arc_mm,info_length_lost_mm,info_segments_deleted,C_clean,C,C_ratio,ffr,dFFR,flip,flip_dir,outlet_flow_residual,inflow_mls,inflow_clean_mls,converged,iters,mass_err,fit_n_basins,fit_loss_at_Cstart,fit_loss,fit_at_bound,info_length_delta_mm,info_radius_scale,info_segments_scaled,info_from_arc_mm,info_branch_r_mm,info_branch_arc_mm,info_branch_to_host_ratio
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T1_missed_branch,,skipped: no deletable downstream branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T2_truncation,A_fixed,ok,False,6.0,6.0,3.0,70.30771343813939,81.07699021827673,0.0,54.60609845356183,54.60609845356183,1.0,0.9094114601713555,0.22302511675001602,1.0,to_negative,0.006320114628937874,3.7065632398146455,3.8494221994649886,True,28.0,3.335513816497576e-12,,,,,,,,,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T2_truncation,B_rederived,ok,False,6.0,6.0,3.0,70.30771343813939,81.07699021827673,0.0,54.60609845356183,55.32007993057278,1.0130751234245043,0.6876930476369497,0.0013067042156101882,0.0,,0.05933612702062294,3.853990634150595,3.8494221994649886,True,28.0,6.5848510133391375e-12,,,,,,,,,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T2_truncation,C_flowmatched,ok,False,6.0,6.0,3.0,70.30771343813939,81.07699021827673,0.0,54.60609845356183,56.874782437508166,1.0415463482686953,0.6946609770180451,0.00827463359670555,0.0,,0.05272485111795912,3.7523049310879593,3.8494221994649886,True,28.0,8.739057887286794e-12,1.0,0.0035207759698075002,0.002779909925410955,False,,,,,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T3_stenosis_length,A_fixed,ok,True,6.0,6.0,3.0,,,,54.60609845356183,54.60609845356183,1.0,0.6708627293933267,-0.015523614028012833,0.0,,0.0015221126988455155,3.8440185080437077,3.8494221994649886,True,28.0,6.543540398941727e-12,,,,,2.46,,,,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T3_stenosis_length,B_rederived,ok,True,6.0,6.0,3.0,,,,54.60609845356183,54.60609845356183,1.0,0.6708627293933267,-0.015523614028012833,0.0,,0.0015221126988455155,3.8440185080437077,3.8494221994649886,True,28.0,6.543540398941727e-12,,,,,2.46,,,,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T3_stenosis_length,C_flowmatched,ok,True,6.0,6.0,3.0,,,,54.60609845356183,54.55799954891461,0.999119166063693,0.6706409283396098,-0.015745415081729774,0.0,,0.0012595554238886216,3.847282310134767,3.8494221994649886,True,28.0,3.4400620318358793e-12,1.0,2.316827067986779e-06,1.586479865847245e-06,False,2.46,,,,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T4_taper,A_fixed,ok,True,6.0,6.0,3.0,,,,54.60609845356183,54.60609845356183,1.0,0.6522337168718001,-0.03415262654953943,0.0,,0.003548211775015163,3.8368256016304927,3.8494221994649886,True,28.0,7.66558819223172e-12,,,,,,0.93,1.0,35.52663793380648,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T4_taper,B_rederived,ok,True,6.0,6.0,3.0,,,,54.60609845356183,54.16827426983466,0.9919821375976989,0.680578878238685,-0.005807465182654514,0.0,,0.006610371314089631,3.859133597363581,3.8494221994649886,True,28.0,1.430204798137687e-11,,,,,,0.93,1.0,35.52663793380648,,,
102,left,LAD,mid,20.0,80,leaky,"[0.65, 0.7)",0.6863863434213395,1,6,T4_taper,C_flowmatched,ok,True,6.0,6.0,3.0,,,,54.60609845356183,54.42700372874254,0.996720243161639,0.681764108761583,-0.00462223465975653,0.0,,0.0047063405410274406,3.8414126560558333,3.8494221994649886,True,28.0,6.219874695961856e-12,1.0,4.369700891013908e-05,2.2149641288118465e-05,False,,0.93,1.0,35.52663793380648,,,
