run_id,station_mm,s_from_lesion_mm,kind,node,ffr,Q_mls,r_mm,r_ref_mm,r_fit_mm,q_norm,n_children,orphan_frac,resolved
102_left_LAD_mid_20mm_80ds_leaky_clean_none,0.0,-45.10708780773706,grid,133,0.9979123573194004,2.051670475461051,2.063555642098582,1.9788913723984103,1.9788913723984103,0.47109167332015056,1,0.04072813356377711,1
102_left_LAD_mid_20mm_80ds_leaky_clean_none,5.0,-40.10708780773707,grid,140,0.9973449985718307,1.6532378666421983,1.688700858282976,1.7992594327137332,1.7992594327137332,0.5050305662154697,1,0.04137744095808671,1
102_left_LAD_mid_20mm_80ds_leaky_clean_none,10.0,-35.10708780773706,grid,148,0.9964195521196298,1.3285724167148507,1.655510957650119,1.620478529363344,1.620478529363344,0.5555447814896275,1,0.037391080024098425,1
102_left_LAD_mid_20mm_80ds_leaky_clean_none,15.0,-30.107087807737063,grid,389,0.9958782371764464,0.8338163417751663,1.6792826125693294,1.6459222523583688,1.6459222523583688,0.3327408613714008,1,0.012332205000922714,1
102_left_LAD_mid_20mm_80ds_leaky_clean_none,20.0,-25.107087807737063,grid,398,0.9953258589191606,0.7309919231840075,1.4393705194808097,1.582244495277828,1.582244495277828,0.32836395854835676,1,0.012544426633335682,1
102_left_LAD_mid_20mm_80ds_leaky_clean_none,25.0,-20.10708780773706,grid,407,0.9948095055356657,0.6379268811940012,1.6205049058469,1.5197890033041244,1.5197890033041244,0.3233588071627948,2,-0.044766409282566956,1
102_left_LAD_mid_20mm_80ds_leaky_clean_none,30.0,-15.107087807737063,grid,415,0.9944662917355692,0.28082362822751433,1.2616639878766875,1.2388157520572685,1.2388157520572685,0.2628313547929619,1,0.005648950413425449,1
102_left_LAD_mid_20mm_80ds_leaky_clean_none,35.10708780773706,-10.000000000000002,lesion_prox,424,0.994024860334758,0.26071820900746173,1.2713646334518576,1.217272113365612,1.217272113365612,0.25720063119451975,1,0.006711019239400694,1
102_left_LAD_mid_20mm_80ds_leaky_clean_none,40.0,-5.107087807737061,grid,432,0.9928288969022996,0.24072148731740875,1.1684917762802793,1.1950478542306382,1.1950478542306382,0.2509704868938518,1,0.007484682601073928,1
102_left_LAD_mid_20mm_80ds_leaky_clean_none,45.10708780773706,0.0,throat,440,0.7871816658698478,0.2223367794284118,1.0897435497045183,1.1734260389842086,1.1734260389842086,0.24485435415475298,1,0.006863446183445296,1
102_left_LAD_mid_20mm_80ds_leaky_clean_none,50.0,4.892912192262941,grid,447,0.6921013208062902,0.2104605864041842,1.0586890772294826,1.1534647204693063,1.1534647204693063,0.24401780318612798,1,0.006571661986427811,1
102_left_LAD_mid_20mm_80ds_leaky_clean_none,55.10708780773707,10.000000000000002,lesion_dist,456,0.6899133852252409,0.19800545892938573,0.8856064778866759,1.1306607846859997,1.1306607846859997,0.2437495707083066,1,0.0067101519262014655,1
102_left_LAD_mid_20mm_80ds_leaky_clean_none,60.0,14.892912192262935,grid,465,0.6879776060100478,0.1868428657116479,0.9933302756119631,1.1093485255040776,1.1093485255040776,0.24352086219096983,1,0.006728197460336308,1
102_left_LAD_mid_20mm_80ds_leaky_clean_none,65.0,19.89291219226294,grid,473,0.6873780632455726,0.17659104737866924,1.0056104414741374,1.0889870807757984,1.0889870807757984,0.2433123673376827,1,0.006373103695089537,1
