run_id,station_mm,s_from_lesion_mm,kind,node,ffr,Q_mls,r_mm,r_ref_mm,r_fit_mm,q_norm,n_children,orphan_frac,resolved
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,0.0,-45.10708780773706,grid,133,0.9980958978586969,1.8738951053261799,2.063555642098582,1.9788913723984103,1.9788913723984103,0.43027201071174576,1,0.04072813356377711,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,5.0,-40.10708780773707,grid,140,0.9975773482174529,1.511673634199127,1.688700858282976,1.7992594327137332,1.7992594327137332,0.46178557049577285,1,0.04137744095808671,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,10.0,-35.10708780773706,grid,148,0.9967305220777971,1.2164945674487475,1.655510957650119,1.620478529363344,1.620478529363344,0.5086792410817323,1,0.037391080024098425,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,15.0,-30.107087807737063,grid,389,0.9962340307206596,0.7664621991140235,1.6792826125693294,1.6459222523583688,1.6459222523583688,0.30586266970836906,1,0.012332205000922714,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,20.0,-25.107087807737063,grid,398,0.9957258219702315,0.6729657105525387,1.4393705194808097,1.582244495277828,1.582244495277828,0.3022983943814576,1,0.012544426633335682,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,25.0,-20.10708780773706,grid,407,0.9952500592072074,0.588338967220018,1.6205049058469,1.5197890033041244,1.5197890033041244,0.29822318553433086,2,-0.044766409282566956,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,30.0,-15.107087807737063,grid,415,0.994928937802729,0.26293808489084763,1.2616639878766875,1.2388157520572685,1.2388157520572685,0.2460917320765434,1,0.005648950413425449,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,35.10708780773706,-10.000000000000002,lesion_prox,424,0.9945151355627163,0.24465457334799043,1.2713646334518576,1.217272113365612,1.217272113365612,0.24135372411954611,1,0.006711019239400694,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,40.0,-5.107087807737061,grid,432,0.9933907090361944,0.22646927348310736,1.1684917762802793,1.1950478542306382,1.1950478542306382,0.236111468344363,1,0.007484682601073928,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,45.10708780773706,0.0,throat,440,0.8049103734865372,0.20973041544091137,1.0897435497045183,1.1734260389842086,1.1734260389842086,0.23097125698866752,1,0.006863446183445296,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,50.0,4.892912192262941,grid,447,0.7152052000818867,0.1985894589740529,1.0586890772294826,1.1534647204693063,1.1534647204693063,0.23025386530903752,1,0.006571661986427811,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,55.10708780773707,10.000000000000002,lesion_dist,456,0.7131405937151709,0.18685562511453474,0.8856064778866759,1.1306607846859997,1.1306607846859997,0.2300238521319914,1,0.0067101519262014655,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,60.0,14.892912192262935,grid,465,0.7113252046829595,0.1763366145411901,0.9933302756119631,1.1093485255040776,1.1093485255040776,0.22982758397197028,1,0.006728197460336308,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,65.0,19.89291219226294,grid,473,0.7107593499535079,0.16667414960940405,1.0056104414741374,1.0889870807757984,1.0889870807757984,0.2296485723225728,1,0.006373103695089537,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,70.0,24.892912192262944,grid,483,0.7101601642324082,0.15587658804089372,1.1336331832424902,1.0652712044111223,1.0652712044111223,0.22943729428081927,1,0.008773222484909398,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,75.15857149286241,30.051483685125348,measurement,490,0.7098232483206821,0.14679227229776504,1.139583885216608,1.0444525248219476,1.0444525248219476,0.22924547153167674,1,0.007444243482959171,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,80.0,34.89291219226294,grid,498,0.7094018730486621,0.137715472699212,1.0709190104098754,1.0227749746701797,1.0227749746701797,0.22903726138728056,1,0.007499074243952396,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,85.0,39.89291219226295,grid,506,0.7088938270589822,0.12960048541405042,0.8808794311853675,1.0025713206790405,1.0025713206790405,0.22883607030354122,1,0.007705262622390257,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,90.0,44.89291219226293,grid,515,0.7077071250857658,0.12086582550649984,0.8341449467814817,0.9798447648970726,0.9798447648970726,0.22861008080632078,1,0.008865731231813766,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,95.0,49.89291219226294,grid,523,0.7069281138428049,0.11361909475415717,0.8886548380602014,0.9601237322864773,0.9601237322864773,0.22841961496049606,1,0.007593355935523391,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,100.0,54.89291219226294,grid,532,0.7062579399252936,0.10554492205552644,0.9084642479319147,0.9371246817376684,0.9371246817376684,0.22819645784934733,1,0.0075614138964476135,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,105.0,59.89291219226293,grid,541,0.7055555300279751,0.0984745223897314,0.8854343517663047,0.9159921203316638,0.9159921203316638,0.2279881918944116,1,0.007255326395124227,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,110.0,64.89291219226294,grid,551,0.7048754940299219,0.09146192010056219,0.8629322622204071,0.8939980910315718,0.8939980910315718,0.22776879520841822,1,0.007564479185186445,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,115.0,69.89291219226294,grid,560,0.7039263339203266,0.08514757292333508,0.7507130482971387,0.8731990895601683,0.8731990895601683,0.2275601099636201,1,0.008719186446224483,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,120.0,74.89291219226294,grid,568,0.7028890180238598,0.07914845176046552,0.7566026122911647,0.852442418025418,0.852442418025418,0.22735837230812186,1,0.009416765220116436,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,125.0,79.89291219226294,grid,576,0.7021615163385667,0.0729632476522554,0.9452493122743029,0.8298929825316167,0.8298929825316167,0.22714415416017678,1,0.008852272015543932,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,130.0,84.89291219226294,grid,584,0.7018218844822052,0.06776740410303327,0.9701579346415694,0.809940178618792,0.809940178618792,0.22694765718127916,1,0.008848322733049616,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,135.0,89.89291219226294,grid,593,0.7013814759792178,0.06229392052107019,0.7233230509094735,0.7877875100603102,0.7877875100603102,0.22671595049116317,1,0.009710630655148303,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw0,140.0,94.89291219226295,grid,602,0.6995464780407948,0.05747023991759788,0.5619198976373382,0.7671443891984984,0.7671443891984984,0.2265037285977887,1,0.007611778103736553,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw1,0.0,-45.10708780773706,grid,133,0.9980835418566001,1.885873048552141,2.063555642098582,1.9788913723984103,1.9788913723984103,0.4330223107159332,1,0.04072813356377711,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw1,5.0,-40.10708780773707,grid,140,0.9975617018586784,1.5212201864585304,1.688700858282976,1.7992594327137332,1.7992594327137332,0.4647018481774378,1,0.04137744095808671,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw1,10.0,-35.10708780773706,grid,148,0.9967095707272334,1.2240611387883715,1.655510957650119,1.620478529363344,1.620478529363344,0.5118432155618674,1,0.037391080024098425,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw1,15.0,-30.107087807737063,grid,389,0.996210049057581,0.7710242179497914,1.6792826125693294,1.6459222523583688,1.6459222523583688,0.30768317861537164,1,0.012332205000922714,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw1,20.0,-25.107087807737063,grid,398,0.9956988462561811,0.6769013059844257,1.4393705194808097,1.582244495277828,1.582244495277828,0.3040662766989944,1,0.012544426633335682,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw1,25.0,-20.10708780773706,grid,407,0.9952203283307823,0.5917078589983422,1.6205049058469,1.5197890033041244,1.5197890033041244,0.2999308433537671,2,-0.044766409282566956,1
102_left_LAD_mid_20mm_80ds_leaky_negative_draw1,30.0,-15.107087807737063,grid,415,0.9948976826025178,0.2641733555397791,1.2616639878766875,1.2388157520572685,1.2388157520572685,0.24724785935915086,1,0.005648950413425449,1
