sd,n,resid_median,resid_p10,resid_p90,pass_rate,dffr_abs_median,dffr_abs_p90,flips,C_ratio_iqr
0.0,100,0.04127492963228832,0.009949347796134912,0.09460183788847622,0.92,0.019417822806123808,0.04362610506600453,0,0.1475076552062924
0.05,100,0.047929525375331725,0.008055418840808844,0.10371530947618296,0.85,0.019458640284124307,0.04263371416795936,0,0.14906134484499967
0.1,100,0.0704913327568561,0.013821724982283592,0.14222707509981145,0.68,0.019045229638221917,0.04380957430909083,0,0.13909419964282932
0.15,100,0.09773156225790736,0.018990693868770305,0.18801828657056455,0.53,0.020599618223272886,0.0471448702705946,0,0.1487038370339251
0.2,97,0.1207650014889722,0.027002816267469535,0.24717229356167073,0.4329896907216495,0.022533925420429535,0.05917687925163515,2,0.16483714538238736
0.25,97,0.13344887503007136,0.026571567834479438,0.30546629153081084,0.4020618556701031,0.0242504921077924,0.07581607535584774,5,0.16032118345404012
