outlet_id,mode,R_SI,R_kinematic
out_160,resistance,87321458051.23224,82378734.01059645
out_425,resistance,104160994749.21861,98265089.38605529
out_600,resistance,106380175492.59866,100358656.12509307
out_639,resistance,98380140600.68935,92811453.39687674
out_742,resistance,86330625122.01407,81443985.96416421
out_868,resistance,78537807740.31738,74092271.4531296
