outlet_id,mode,territory_id,Q_target_m3s,Q_target_mls
out_160,prescribed,0,9.526337218187127e-08,0.09526337218187127
out_425,prescribed,1,1.0437238952330091e-07,0.10437238952330091
out_600,prescribed,0,7.821426859620307e-08,0.07821426859620308
out_639,prescribed,1,1.125801977787901e-07,0.11258019777879011
out_742,prescribed,1,1.234458658940483e-07,0.1234458658940483
out_868,prescribed,1,1.350949401152109e-07,0.13509494011521092
