scan,side,vessel,T,scheme,nout,meas_active,les_active,Qh_les_leaky,Qh_les,Qh_meas_leaky,Qh_meas,hffr_meas,base_meas_leaky,base_meas,r_ref_les,r_ref_meas,les65_meas,les65_meas_leaky,n_dn_br_ret,n_dn_br_all,runoff_ret_mm
3,left,LAD,0.5,share,6,True,True,0.5482206650476358,0.5045375292402081,0.19036789380464897,0.24971802901341852,0.9780261350200324,0.9734073497661377,0.9747560609343721,1.0038986011356377,0.8795800767261762,0.8598696910969928,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.5,share,6,True,True,0.3402724021404799,0.5781340306134793,0.21460358981361619,0.4092512135622396,0.9702626163411021,0.9764864538478468,0.9616502146859994,0.8862785901344664,0.9116842572815144,0.8854445978035792,0.9357113414993022,1.0,1.0,96.50504005176872
3,left,LAD,0.5,leaf3,6,True,True,0.5482206650476358,0.6687786982653433,0.19036789380464897,0.3999195057735431,0.9699259143905932,0.9734073497661377,0.9658201780115682,1.0038986011356377,0.8795800767261762,0.8093719699608773,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.5,leaf3,6,True,True,0.3402724021404799,0.4563714189194108,0.21460358981361619,0.3480357911818547,0.9755744101744352,0.9764864538478468,0.9681808856252153,0.8862785901344664,0.9116842572815144,0.91201095145276,0.9357113414993022,1.0,1.0,96.50504005176872
3,left,LAD,0.5,leaf266,6,True,True,0.5482206650476358,0.6496929368053734,0.19036789380464897,0.3811668381391551,0.970768196833475,0.9734073497661377,0.9666795205316276,1.0038986011356377,0.8795800767261762,0.8148484547764071,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.5,leaf266,6,True,True,0.3402724021404799,0.4569750163857707,0.21460358981361619,0.3369118862442355,0.9757806999608051,0.9764864538478468,0.9686425523202901,0.8862785901344664,0.9116842572815144,0.9119919042416275,0.9357113414993022,1.0,1.0,96.50504005176872
3,left,LAD,0.5,apport,6,True,True,0.5482206650476358,0.7293866108889455,0.19036789380464897,0.395021369953962,0.9688862308502021,0.9734073497661377,0.9646734142309404,1.0038986011356377,0.8795800767261762,0.7908754358877055,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.5,apport,6,True,True,0.3402724021404799,0.47319298152053263,0.21460358981361619,0.34282540184939064,0.9753200290310684,0.9764864538478468,0.9680716265456382,0.8862785901344664,0.9116842572815144,0.9087151942009911,0.9357113414993022,1.0,1.0,96.50504005176872
3,left,LAD,0.5,origin,6,True,True,0.5482206650476358,0.6126774352667265,0.19036789380464897,0.30256452356396596,0.9735238311851513,0.9734073497661377,0.9695364409008079,1.0038986011356377,0.8795800767261762,0.8252740226197499,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.5,origin,6,True,True,0.3402724021404799,0.5323276379006622,0.21460358981361619,0.37736146907569923,0.9727623934897613,0.9764864538478468,0.9647952928301743,0.8862785901344664,0.9116842572815144,0.8958766293167285,0.9357113414993022,1.0,1.0,96.50504005176872
3,left,LAD,0.5,length,6,True,True,0.5482206650476358,0.674338303049355,0.19036789380464897,0.4787153177611253,0.9679544089168607,0.9734073497661377,0.9640451411570398,1.0038986011356377,0.8795800767261762,0.8099557087544985,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.5,length,6,True,True,0.3402724021404799,0.5181042040630425,0.21460358981361619,0.43129675382087745,0.9720213249923917,0.9764864538478468,0.9629230230340851,0.8862785901344664,0.9116842572815144,0.8988360540670983,0.9357113414993022,1.0,1.0,96.50504005176872
3,left,LAD,0.6,share,6,True,True,0.5482206650476358,0.5035489256003858,0.19036789380464897,0.24923376649480258,0.9780577840335086,0.9734073497661377,0.9747915028793402,1.0038986011356377,0.8795800767261762,0.860175909896564,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.6,share,6,True,True,0.3402724021404799,0.5786045680887174,0.21460358981361619,0.40846475638679297,0.9702664007731353,0.9764864538478468,0.9616592704041952,0.8862785901344664,0.9116842572815144,0.8852493642171101,0.9357113414993022,1.0,1.0,96.50504005176872
3,left,LAD,0.6,leaf3,6,True,True,0.5482206650476358,0.6194687563088533,0.19036789380464897,0.3709628298467642,0.9716729199884819,0.9734073497661377,0.9676586769468419,1.0038986011356377,0.8795800767261762,0.82404439737792,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.6,leaf3,6,True,True,0.3402724021404799,0.49563015480984374,0.21460358981361619,0.32178349091843944,0.9750289283726417,0.9764864538478468,0.9682907215759222,0.8862785901344664,0.9116842572815144,0.9040784628502709,0.9357113414993022,1.0,1.0,96.50504005176872
3,left,LAD,0.6,leaf266,6,True,True,0.5482206650476358,0.6039915064837772,0.19036789380464897,0.35481349922648586,0.9723784812615195,0.9734073497661377,0.9683851502745291,1.0038986011356377,0.8795800767261762,0.8285522779832971,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.6,leaf266,6,True,True,0.3402724021404799,0.4945684311624673,0.21460358981361619,0.3126861252066645,0.9752394740527941,0.9764864538478468,0.9687127593564762,0.8862785901344664,0.9116842572815144,0.9043952569547097,0.9357113414993022,1.0,1.0,96.50504005176872
3,left,LAD,0.6,apport,6,True,True,0.5482206650476358,0.7278878115023737,0.19036789380464897,0.39422474603724994,0.9689389624727487,0.9734073497661377,0.9647278114979179,1.0038986011356377,0.8795800767261762,0.7913147086236841,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.6,apport,6,True,True,0.3402724021404799,0.47935025800908176,0.21460358981361619,0.33157923764002933,0.9754080511976406,0.9764864538478468,0.968421552329657,0.8862785901344664,0.9116842572815144,0.9075169075918599,0.9357113414993022,1.0,1.0,96.50504005176872
3,left,LAD,0.6,origin,6,True,True,0.5482206650476358,0.6113523111645203,0.19036789380464897,0.30191835294835095,0.9735607267866513,0.9734073497661377,0.9695769656966882,1.0038986011356377,0.8795800767261762,0.8256729668788643,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.6,origin,6,True,True,0.3402724021404799,0.5325147240817253,0.21460358981361619,0.37655451089485453,0.9727756768587006,0.9764864538478468,0.9648164539609173,0.8862785901344664,0.9116842572815144,0.895764556876621,0.9357113414993022,1.0,1.0,96.50504005176872
3,left,LAD,0.6,length,6,True,True,0.5482206650476358,0.6735836178573358,0.19036789380464897,0.47819070421970233,0.9679773127115123,0.9734073497661377,0.9640682890034884,1.0038986011356377,0.8795800767261762,0.8101659247695204,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.6,length,6,True,True,0.3402724021404799,0.5179403507933087,0.21460358981361619,0.43081595636673176,0.9720372913877563,0.9764864538478468,0.9629457232816746,0.8862785901344664,0.9116842572815144,0.8988472323633522,0.9357113414993022,1.0,1.0,96.50504005176872
3,left,LAD,0.75,share,3,True,True,0.5482206650476358,0.6522058279137307,0.19036789380464897,0.31978394563844975,0.9736565921637733,0.9734073497661377,0.9703386891863484,1.0038986011356377,0.8795800767261762,0.8150905101663416,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.75,share,3,True,True,0.3402724021404799,0.7977223757687048,0.21460358981361619,0.7977223757687502,0.9557050724226676,0.9764864538478468,0.9413214068430217,0.8862785901344664,0.9116842572815144,0.846885655225746,0.9357113414993022,0.0,1.0,96.50504005176872
3,left,LAD,0.75,leaf3,3,True,True,0.5482206650476358,0.9900924032629088,0.19036789380464897,0.5222230250645064,0.960241135333308,0.9734073497661377,0.9557338813947148,1.0038986011356377,0.8795800767261762,0.7186440669735743,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.75,leaf3,3,True,True,0.3402724021404799,0.4598358004207724,0.21460358981361619,0.45983580042268346,0.9735413223646032,0.9764864538478468,0.963789293791088,0.8862785901344664,0.9116842572815144,0.9113693160443661,0.9357113414993022,0.0,1.0,96.50504005176872
3,left,LAD,0.75,leaf266,3,True,True,0.5482206650476358,0.9879330938755168,0.19036789380464897,0.5163963498309166,0.9604377939297047,0.9734073497661377,0.9559213921968256,1.0038986011356377,0.8795800767261762,0.7190702547951108,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.75,leaf266,3,True,True,0.3402724021404799,0.46199510981143904,0.21460358981361619,0.46199510981169795,0.9734273374217469,0.9764864538478468,0.9636351234423511,0.8862785901344664,0.9116842572815144,0.9109331040193576,0.9357113414993022,0.0,1.0,96.50504005176872
3,left,LAD,0.75,apport,3,True,True,0.5482206650476358,0.8723781073892052,0.19036789380464897,0.4422967415704033,0.9651448859454739,0.9734073497661377,0.9609333094979248,1.0038986011356377,0.8795800767261762,0.75012812071316,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.75,apport,3,True,True,0.3402724021404799,0.5775500962993999,0.21460358981361619,0.5775500962993504,0.9673274572506644,0.9764864538478468,0.9556136074394502,0.8862785901344664,0.9116842572815144,0.8879603076497393,0.9357113414993022,0.0,1.0,96.50504005176872
3,left,LAD,0.75,origin,3,True,True,0.5482206650476358,0.902111630489861,0.19036789380464897,0.4388886412409733,0.9644836762039013,0.9734073497661377,0.9601410651693549,1.0038986011356377,0.8795800767261762,0.7414034394526682,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.75,origin,3,True,True,0.3402724021404799,0.5478165731949732,0.21460358981361619,0.5478165731951834,0.9688970210878818,0.9764864538478468,0.9576404862940766,0.8862785901344664,0.9116842572815144,0.8937965298880175,0.9357113414993022,0.0,1.0,96.50504005176872
3,left,LAD,0.75,length,3,True,True,0.5482206650476358,0.8851998851164269,0.19036789380464897,0.6224283897958675,0.9604158225676775,0.9734073497661377,0.9567861309300657,1.0038986011356377,0.8795800767261762,0.7527931912629642,0.844036637216716,1.0,1.0,111.68496386217438
3,left,LCX,0.75,length,3,True,True,0.3402724021404799,0.5647283185702463,0.21460358981361619,0.5647283185691915,0.9680042892084003,0.9764864538478468,0.9565358550741005,0.8862785901344664,0.9116842572815144,0.8905156884855121,0.9357113414993022,0.0,1.0,96.50504005176872
3,left,LAD,0.9,share,2,False,True,0.5482206650476358,0.607294365891032,0.19036789380464897,,,0.9734073497661377,,1.0038986011356377,0.8795800767261762,,,,,
3,left,LCX,0.9,share,2,False,False,0.3402724021404799,,0.21460358981361619,,,0.9764864538478468,,0.8862785901344664,0.9116842572815144,,,,,
3,left,LAD,0.9,leaf3,2,False,True,0.5482206650476358,0.6000154550240813,0.19036789380464897,,,0.9734073497661377,,1.0038986011356377,0.8795800767261762,,,,,
3,left,LCX,0.9,leaf3,2,False,False,0.3402724021404799,,0.21460358981361619,,,0.9764864538478468,,0.8862785901344664,0.9116842572815144,,,,,
3,left,LAD,0.9,leaf266,2,False,True,0.5482206650476358,0.6135452101859558,0.19036789380464897,,,0.9734073497661377,,1.0038986011356377,0.8795800767261762,,,,,
3,left,LCX,0.9,leaf266,2,False,False,0.3402724021404799,,0.21460358981361619,,,0.9764864538478468,,0.8862785901344664,0.9116842572815144,,,,,
3,left,LAD,0.9,apport,2,False,True,0.5482206650476358,0.7300045924738341,0.19036789380464897,,,0.9734073497661377,,1.0038986011356377,0.8795800767261762,,,,,
3,left,LCX,0.9,apport,2,False,False,0.3402724021404799,,0.21460358981361619,,,0.9764864538478468,,0.8862785901344664,0.9116842572815144,,,,,
3,left,LAD,0.9,origin,2,False,True,0.5482206650476358,0.7300045924738341,0.19036789380464897,,,0.9734073497661377,,1.0038986011356377,0.8795800767261762,,,,,
3,left,LCX,0.9,origin,2,False,False,0.3402724021404799,,0.21460358981361619,,,0.9764864538478468,,0.8862785901344664,0.9116842572815144,,,,,
3,left,LAD,0.9,length,2,False,True,0.5482206650476358,0.7196623958157388,0.19036789380464897,,,0.9734073497661377,,1.0038986011356377,0.8795800767261762,,,,,
3,left,LCX,0.9,length,2,False,False,0.3402724021404799,,0.21460358981361619,,,0.9764864538478468,,0.8862785901344664,0.9116842572815144,,,,,
3,left,LAD,1.0,share,2,False,True,0.5482206650476358,0.6079890127623725,0.19036789380464897,,,0.9734073497661377,,1.0038986011356377,0.8795800767261762,,,,,
3,left,LCX,1.0,share,2,False,False,0.3402724021404799,,0.21460358981361619,,,0.9764864538478468,,0.8862785901344664,0.9116842572815144,,,,,
3,left,LAD,1.0,leaf3,2,False,True,0.5482206650476358,0.7007176332986231,0.19036789380464897,,,0.9734073497661377,,1.0038986011356377,0.8795800767261762,,,,,
3,left,LCX,1.0,leaf3,2,False,False,0.3402724021404799,,0.21460358981361619,,,0.9764864538478468,,0.8862785901344664,0.9116842572815144,,,,,
3,left,LAD,1.0,leaf266,2,False,True,0.5482206650476358,0.7031545032481006,0.19036789380464897,,,0.9734073497661377,,1.0038986011356377,0.8795800767261762,,,,,
3,left,LCX,1.0,leaf266,2,False,False,0.3402724021404799,,0.21460358981361619,,,0.9764864538478468,,0.8862785901344664,0.9116842572815144,,,,,
3,left,LAD,1.0,apport,2,False,True,0.5482206650476358,0.730863521938215,0.19036789380464897,,,0.9734073497661377,,1.0038986011356377,0.8795800767261762,,,,,
3,left,LCX,1.0,apport,2,False,False,0.3402724021404799,,0.21460358981361619,,,0.9764864538478468,,0.8862785901344664,0.9116842572815144,,,,,
3,left,LAD,1.0,origin,2,False,True,0.5482206650476358,0.730863521938215,0.19036789380464897,,,0.9734073497661377,,1.0038986011356377,0.8795800767261762,,,,,
3,left,LCX,1.0,origin,2,False,False,0.3402724021404799,,0.21460358981361619,,,0.9764864538478468,,0.8862785901344664,0.9116842572815144,,,,,
3,left,LAD,1.0,length,2,False,True,0.5482206650476358,0.7205090283962524,0.19036789380464897,,,0.9734073497661377,,1.0038986011356377,0.8795800767261762,,,,,
3,left,LCX,1.0,length,2,False,False,0.3402724021404799,,0.21460358981361619,,,0.9764864538478468,,0.8862785901344664,0.9116842572815144,,,,,
3,right,RCA,0.5,share,2,True,True,1.7097898396592668,2.002607709818914,1.3883324229658676,2.0026077098196198,0.9820335629675098,0.9664904587461741,0.9567566683435841,1.4513226732904143,1.3566098499283208,0.7596018757064718,0.7881117500281126,1.0,1.0,117.13158001656379
