case,P_in_Pa,P_v_Pa,R_out_SI,R_out_kinematic,Q_mls,detected_DS_pct,iters,converged,p_inlet_Pa,p_proximal_Pa,p_throat_Pa,p_measurement_Pa,p_outlet_Pa,FFR_measurement,Re_throat,dP_60_to_90mm_Pa
sten00,11998.98,666.61,6977581184.647309,6582623.759101235,1.5000000001223657,5.551115123125783e-14,1.0,True,11991.702682071229,11940.136129613515,11908.95438555012,11794.09964721759,11249.41886440339,0.9829251859089349,170.40832292037518,
sten50,11998.98,666.61,6974906410.565049,6580100.387325518,1.4409669093102848,49.85489797815338,27.0,True,11991.989083784641,11942.451953309446,11533.263422014727,11352.31864864301,10829.073992557733,0.9461069731463015,327.4036725057207,
sten70,11998.98,666.61,6974825971.645661,6580024.501552511,1.1307776392997406,69.91033919523267,22.0,True,11993.4939810752,11954.620444775252,9445.089664095642,9051.972115766837,8641.363549292926,0.7543951332335613,428.2087135404673,
sten80,11998.98,666.61,6974429934.153279,6579650.881276678,0.6947647151057554,79.93165782677607,16.0,True,11995.609317521976,11971.724903439183,6593.436103007907,5818.412071618584,5566.128745710198,0.4849088898905227,394.64563305255285,
pipe,11998.98,666.61,,,1.5,,,,,,,,,,168.70423967740905,90.54147873672268
