outlet_id,mode,R_SI,R_kinematic
out_160,resistance,99668413275.23584,94026804.97663759
out_425,resistance,98018110773.9915,92469915.82452029
out_600,resistance,121421968115.41698,114549026.52397828
out_639,resistance,92578181905.57907,87337907.45809346
out_742,resistance,81239285365.60936,76640835.25057487
out_868,resistance,73906048589.2165,69722687.34831746
