outlet_id,mode,R_SI,R_kinematic
out_383,resistance,85214790658.60661,80391311.9420817
out_558,resistance,87030316930.56708,82104072.57600668
out_597,resistance,80485436092.81265,75929656.6913327
out_700,resistance,70627648717.36462,66629857.280532666
out_826,resistance,64252293879.2042,60615371.584154904
